time,id,start_date,end_date,activity,circumplex.arousal,circumplex.valence,screen,appCat.builtin,appCat.communication,appCat.main,appCat.tools,appCat.contact,mood,mood_label
2014-03-31,AS14.09,2014-03-24,2014-03-31,0.06423611111111112,-0.3333333333333333,0.6666666666666666,6165.101332505544,429.623,2544.161,2828.5913333333338,359.75800000000004,3.0,7.6000000000000005,7.0
2014-04-04,AS14.09,2014-03-28,2014-04-04,0.08055555555555556,-0.45,0.65,7079.509332736333,451.4796666666666,3314.7883333333334,2911.9936666666667,397.95266666666674,4.0,7.416666666666667,8.0
2014-04-05,AS14.09,2014-03-29,2014-04-05,0.09166666666666667,-0.31666666666666665,0.5666666666666667,6395.548000017802,317.526,3162.740333333333,2562.9599999999996,348.9096666666667,3.5555555555555554,7.25,7.0
2014-04-06,AS14.09,2014-03-30,2014-04-06,0.1101851851851852,-0.3833333333333333,0.7666666666666666,6512.795667648316,199.63166666666666,3004.395,3131.7043333333336,173.39566666666667,3.6666666666666665,7.183333333333334,6.0
2014-04-09,AS14.09,2014-04-02,2014-04-09,0.09621362433862435,-0.05000000000000001,0.6,5642.94733452797,259.24966666666666,2541.9286666666667,2765.4823333333334,78.815,3.3333333333333335,6.933333333333334,6.0
2014-04-10,AS14.09,2014-04-03,2014-04-10,0.0677910052910053,0.19999999999999998,0.35000000000000003,4540.778668085735,280.3623333333333,1810.1913333333334,2368.5816666666665,85.935,2.4444444444444446,6.433333333333334,7.0
2014-04-11,AS14.09,2014-04-04,2014-04-11,0.0595899470899471,0.3333333333333333,0.2833333333333333,4007.921667019524,191.13433333333333,1102.4343333333334,1308.5649999999998,308.641,1.6666666666666667,6.433333333333334,6.0
2014-04-13,AS14.09,2014-04-06,2014-04-13,0.10562169312169312,-0.01666666666666668,0.19999999999999998,2979.170000155765,43.528,698.5416666666666,702.1396666666666,432.6106666666667,1.0,6.266666666666667,6.0
2014-04-14,AS14.09,2014-04-07,2014-04-14,0.12328042328042323,-0.3333333333333333,0.13333333333333333,2534.0373330116254,29.89266666666667,485.14799999999997,492.0976666666667,433.98900000000003,1.3333333333333333,6.2,6.0
2014-04-15,AS14.09,2014-04-08,2014-04-15,0.11469907407407404,-0.3333333333333333,-0.06666666666666667,1279.9773331483204,69.44500000000001,428.5916666666667,651.0513333333333,180.57766666666666,1.6666666666666667,5.933333333333334,6.0
2014-04-16,AS14.09,2014-04-09,2014-04-16,0.06248647186147182,-0.2333333333333333,-0.15,1070.6226666768391,68.75633333333333,348.3856666666666,699.5880000000001,48.029333333333334,2.0,5.766666666666667,7.0
2014-04-17,AS14.09,2014-04-10,2014-04-17,0.07152754044201415,-0.16666666666666666,0.16666666666666666,1533.3756667772923,54.127333333333326,708.8359999999999,766.525,90.97333333333331,2.0,6.166666666666667,8.0
2014-04-19,AS14.09,2014-04-12,2014-04-19,0.07973010176957547,-0.08333333333333331,0.5,1565.5689999262493,18.29133333333333,764.1233333333333,577.5843333333333,252.61066666666662,2.0,6.833333333333333,6.0
2014-04-20,AS14.09,2014-04-13,2014-04-20,0.08838472839295208,0.08333333333333336,0.6666666666666666,1509.668666601181,15.588333333333333,759.247,596.7076666666667,263.18266666666665,2.0,7.083333333333333,6.0
2014-04-21,AS14.09,2014-04-14,2014-04-21,0.056668996512746504,-0.25,0.5833333333333334,1055.2306663990023,27.298333333333332,358.82766666666663,563.1270000000001,228.03066666666663,2.0,6.916666666666667,7.0
2014-04-24,AS14.09,2014-04-17,2014-04-24,0.03296348905723905,-0.26666666666666666,0.5833333333333334,677.6839999357859,30.709999999999997,205.98933333333332,495.7250000000001,68.01466666666666,3.0,6.6499999999999995,7.0
2014-04-25,AS14.09,2014-04-18,2014-04-25,0.05771885521885522,-0.18333333333333335,0.8333333333333334,958.5753334363299,31.38033333333333,338.00866666666667,678.2833333333334,84.51833333333332,4.0,6.983333333333333,6.0
2014-04-27,AS14.09,2014-04-20,2014-04-27,0.09122053872053872,-0.18333333333333335,0.75,1097.1156671047208,10.479333333333333,530.505,823.873,79.27299999999998,5.0,6.8999999999999995,7.0
2014-04-28,AS14.09,2014-04-21,2014-04-28,0.11581439393939394,-0.25,0.6166666666666667,1263.7550008296962,4.023,644.268,1024.537,110.83900000000001,5.0,6.7,7.0
2014-04-29,AS14.09,2014-04-22,2014-04-29,0.11581439393939394,-0.5,0.45,1263.7550008296962,4.023,644.268,1024.537,110.83900000000001,5.0,6.533333333333334,7.0
2014-04-30,AS14.09,2014-04-23,2014-04-30,0.11581439393939394,-0.3333333333333333,0.6166666666666667,1263.7550008296962,4.023,644.268,1024.537,110.83900000000001,5.0,6.783333333333334,8.0
2014-05-01,AS14.09,2014-04-24,2014-05-01,0.11581439393939394,-0.4166666666666667,0.6666666666666666,1263.7550008296962,4.023,644.268,1024.537,110.83900000000001,5.0,7.083333333333333,8.0
2014-05-02,AS14.09,2014-04-25,2014-05-02,0.11581439393939394,-0.25,0.7666666666666666,1263.7550008296962,4.023,644.268,1024.537,110.83900000000001,5.0,7.366666666666666,8.0
2014-05-03,AS14.09,2014-04-26,2014-05-03,0.11581439393939394,0.0,0.7666666666666666,1263.7550008296962,4.023,644.268,1024.537,110.83900000000001,5.0,7.616666666666666,7.0
2014-05-04,AS14.09,2014-04-27,2014-05-04,0.11581439393939394,0.15,0.65,1263.7550008296962,4.023,644.268,1024.537,110.83900000000001,5.0,7.316666666666666,6.0
2014-03-31,AS14.12,2014-03-24,2014-03-31,0.0902798986384782,-0.09999999999999999,0.5499999999999999,4332.164667050046,831.7446666666666,785.0213333333332,2459.9246666666663,321.8996666666667,1.3333333333333333,6.3999999999999995,6.0
2014-04-01,AS14.12,2014-03-25,2014-04-01,0.08778043806560058,0.20000000000000004,0.4666666666666666,5274.4639999866495,1031.302,1451.0813333333335,2280.8886666666667,333.82233333333335,1.3333333333333333,6.2,6.0
2014-04-05,AS14.12,2014-03-29,2014-04-05,0.12121231944622239,0.26666666666666666,0.5166666666666667,5868.318000078201,1300.5343333333333,1258.3253333333334,3012.4026666666664,404.51866666666666,2.3333333333333335,6.333333333333333,6.0
2014-04-06,AS14.12,2014-03-30,2014-04-06,0.1261005292485381,0.21666666666666667,0.6333333333333333,5525.785333474477,1171.7293333333334,1102.4166666666667,3114.9303333333332,259.763,3.0,6.283333333333334,6.0
2014-04-08,AS14.12,2014-04-01,2014-04-08,0.11838813483225298,0.08333333333333333,0.4666666666666666,5226.762667179107,1750.5806666666667,589.6703333333334,3464.778,276.16366666666664,3.0,6.233333333333333,6.0
2014-04-10,AS14.12,2014-04-03,2014-04-10,0.11289562483270969,0.15,0.5333333333333333,6198.6946667830125,1917.6973333333335,701.3739999999999,4071.8196666666663,201.2493333333333,2.4444444444444446,6.3,7.0
2014-04-12,AS14.12,2014-04-05,2014-04-12,0.11183592310631474,0.06666666666666667,0.5499999999999999,7691.084666808444,2683.2909999999997,1274.8943333333334,4485.067333333333,300.022,2.3333333333333335,6.483333333333333,6.0
2014-04-13,AS14.12,2014-04-06,2014-04-13,0.10441204089667146,0.26666666666666666,0.4666666666666666,7909.903000752129,2072.703,1357.322,4538.569333333334,323.1053333333333,2.6666666666666665,6.266666666666667,7.0
2014-04-14,AS14.12,2014-04-07,2014-04-14,0.08894650834481553,0.06666666666666665,0.5333333333333333,7927.1730006535845,1908.59,1537.0780000000002,4377.474000000001,332.6046666666667,2.222222222222222,6.333333333333333,7.0
2014-04-15,AS14.12,2014-04-08,2014-04-15,0.10095266929172246,0.1333333333333333,0.6,7889.781666994095,1737.9926666666663,1629.015333333333,4621.782666666667,124.75966666666663,3.3333333333333335,6.333333333333333,7.0
2014-04-16,AS14.12,2014-04-09,2014-04-16,0.13519130517163241,-0.0666666666666667,0.9333333333333332,7350.044000546138,2283.8393333333333,1809.8753333333334,3803.4053333333336,111.7393333333333,4.0,6.8,7.0
2014-04-17,AS14.12,2014-04-10,2014-04-17,0.1497371219132169,-0.13333333333333333,0.9333333333333332,7321.175667285919,2112.6876666666667,2035.1123333333335,3670.896666666666,189.16099999999997,4.333333333333333,6.866666666666666,7.0
2014-04-18,AS14.12,2014-04-11,2014-04-18,0.13637999725116423,-0.4000000000000001,0.8666666666666667,6894.99166727066,1594.1036666666666,1419.579,3756.385333333333,347.83099999999996,2.8333333333333335,6.8,6.0
2014-04-21,AS14.12,2014-04-14,2014-04-21,0.09375722261397852,-0.4833333333333334,0.7833333333333333,5958.170332829156,1049.5493333333332,1039.2483333333332,3500.9443333333334,327.7253333333333,1.5,6.466666666666666,6.0
2014-04-23,AS14.12,2014-04-16,2014-04-23,0.0882346397253055,-0.2833333333333333,0.7833333333333333,5249.352332671482,1102.2989999999998,633.7919999999999,3260.791333333333,320.90299999999996,2.8333333333333335,6.133333333333333,7.0
2014-04-24,AS14.12,2014-04-17,2014-04-24,0.08998253205496443,-0.2833333333333333,0.7166666666666667,5592.729998985925,1880.363333333333,624.968,3534.501666666667,376.4753333333333,2.6666666666666665,6.133333333333333,6.0
